,Sex,Age,Pclass,SibSp,Parch,Fare,Cabin_First_Letter,Survived,Bin_Age
0,male,22.0,3,1,0,7.25,N,0,20s
1,female,38.0,1,1,0,71.2833,C,1,30s
2,female,26.0,3,0,0,7.925,N,1,20s
3,female,35.0,1,1,0,53.1,C,1,30s
4,male,35.0,3,0,0,8.05,N,0,30s
5,male,0.0,3,0,0,8.4583,N,0,<10s
6,male,54.0,1,0,0,51.8625,E,0,50s
7,male,2.0,3,3,1,21.075,N,0,<10s
8,female,27.0,3,0,2,11.1333,N,1,20s
9,female,14.0,2,1,0,30.0708,N,1,10s
10,female,4.0,3,1,1,16.7,G,1,<10s
11,female,58.0,1,0,0,26.55,C,1,50s
12,male,20.0,3,0,0,8.05,N,0,20s
13,male,39.0,3,1,5,31.275,N,0,30s
14,female,14.0,3,0,0,7.8542,N,0,10s
15,female,55.0,2,0,0,16.0,N,1,50s
16,male,2.0,3,4,1,29.125,N,0,<10s
17,male,0.0,2,0,0,13.0,N,1,<10s
18,female,31.0,3,1,0,18.0,N,0,30s
19,female,0.0,3,0,0,7.225,N,1,<10s
20,male,35.0,2,0,0,26.0,N,0,30s
21,male,34.0,2,0,0,13.0,D,1,30s
22,female,15.0,3,0,0,8.0292,N,1,10s
23,male,28.0,1,0,0,35.5,A,1,20s
24,female,8.0,3,3,1,21.075,N,0,<10s
25,female,38.0,3,1,5,31.3875,N,1,30s
26,male,0.0,3,0,0,7.225,N,0,<10s
27,male,19.0,1,3,2,263.0,C,0,10s
28,female,0.0,3,0,0,7.8792,N,1,<10s
29,male,0.0,3,0,0,7.8958,N,0,<10s
30,male,40.0,1,0,0,27.7208,N,0,40s
31,female,0.0,1,1,0,146.5208,B,1,<10s
32,female,0.0,3,0,0,7.75,N,1,<10s
33,male,66.0,2,0,0,10.5,N,0,60s
34,male,28.0,1,1,0,82.1708,N,0,20s
35,male,42.0,1,1,0,52.0,N,0,40s
36,male,0.0,3,0,0,7.2292,N,1,<10s
37,male,21.0,3,0,0,8.05,N,0,20s
38,female,18.0,3,2,0,18.0,N,0,10s
39,female,14.0,3,1,0,11.2417,N,1,10s
40,female,40.0,3,1,0,9.475,N,0,40s
41,female,27.0,2,1,0,21.0,N,0,20s
42,male,0.0,3,0,0,7.8958,N,0,<10s
43,female,3.0,2,1,2,41.5792,N,1,<10s
44,female,19.0,3,0,0,7.8792,N,1,10s
45,male,0.0,3,0,0,8.05,N,0,<10s
46,male,0.0,3,1,0,15.5,N,0,<10s
47,female,0.0,3,0,0,7.75,N,1,<10s
48,male,0.0,3,2,0,21.6792,N,0,<10s
49,female,18.0,3,1,0,17.8,N,0,10s
50,male,7.0,3,4,1,39.6875,N,0,<10s
51,male,21.0,3,0,0,7.8,N,0,20s
52,female,49.0,1,1,0,76.7292,D,1,40s
53,female,29.0,2,1,0,26.0,N,1,20s
54,male,65.0,1,0,1,61.9792,B,0,60s
55,male,0.0,1,0,0,35.5,C,1,<10s
56,female,21.0,2,0,0,10.5,N,1,20s
57,male,28.5,3,0,0,7.2292,N,0,20s
58,female,5.0,2,1,2,27.75,N,1,<10s
59,male,11.0,3,5,2,46.9,N,0,10s
60,male,22.0,3,0,0,7.2292,N,0,20s
61,female,38.0,1,0,0,80.0,B,1,30s
62,male,45.0,1,1,0,83.475,C,0,40s
63,male,4.0,3,3,2,27.9,N,0,<10s
64,male,0.0,1,0,0,27.7208,N,0,<10s
65,male,0.0,3,1,1,15.2458,N,1,<10s
66,female,29.0,2,0,0,10.5,F,1,20s
67,male,19.0,3,0,0,8.1583,N,0,10s
68,female,17.0,3,4,2,7.925,N,1,10s
69,male,26.0,3,2,0,8.6625,N,0,20s
70,male,32.0,2,0,0,10.5,N,0,30s
71,female,16.0,3,5,2,46.9,N,0,10s
72,male,21.0,2,0,0,73.5,N,0,20s
73,male,26.0,3,1,0,14.4542,N,0,20s
74,male,32.0,3,0,0,56.4958,N,1,30s
75,male,25.0,3,0,0,7.65,F,0,20s
76,male,0.0,3,0,0,7.8958,N,0,<10s
77,male,0.0,3,0,0,8.05,N,0,<10s
78,male,0.83,2,0,2,29.0,N,1,<10s
79,female,30.0,3,0,0,12.475,N,1,30s
80,male,22.0,3,0,0,9.0,N,0,20s
81,male,29.0,3,0,0,9.5,N,1,20s
82,female,0.0,3,0,0,7.7875,N,1,<10s
83,male,28.0,1,0,0,47.1,N,0,20s
84,female,17.0,2,0,0,10.5,N,1,10s
85,female,33.0,3,3,0,15.85,N,1,30s
86,male,16.0,3,1,3,34.375,N,0,10s
87,male,0.0,3,0,0,8.05,N,0,<10s
88,female,23.0,1,3,2,263.0,C,1,20s
89,male,24.0,3,0,0,8.05,N,0,20s
90,male,29.0,3,0,0,8.05,N,0,20s
91,male,20.0,3,0,0,7.8542,N,0,20s
92,male,46.0,1,1,0,61.175,E,0,40s
93,male,26.0,3,1,2,20.575,N,0,20s
94,male,59.0,3,0,0,7.25,N,0,50s
95,male,0.0,3,0,0,8.05,N,0,<10s
96,male,71.0,1,0,0,34.6542,A,0,70s
97,male,23.0,1,0,1,63.3583,D,1,20s
98,female,34.0,2,0,1,23.0,N,1,30s
99,male,34.0,2,1,0,26.0,N,0,30s
100,female,28.0,3,0,0,7.8958,N,0,20s
101,male,0.0,3,0,0,7.8958,N,0,<10s
102,male,21.0,1,0,1,77.2875,D,0,20s
103,male,33.0,3,0,0,8.6542,N,0,30s
104,male,37.0,3,2,0,7.925,N,0,30s
105,male,28.0,3,0,0,7.8958,N,0,20s
106,female,21.0,3,0,0,7.65,N,1,20s
107,male,0.0,3,0,0,7.775,N,1,<10s
108,male,38.0,3,0,0,7.8958,N,0,30s
109,female,0.0,3,1,0,24.15,N,1,<10s
110,male,47.0,1,0,0,52.0,C,0,40s
111,female,14.5,3,1,0,14.4542,N,0,10s
112,male,22.0,3,0,0,8.05,N,0,20s
113,female,20.0,3,1,0,9.825,N,0,20s
114,female,17.0,3,0,0,14.4583,N,0,10s
115,male,21.0,3,0,0,7.925,N,0,20s
116,male,70.5,3,0,0,7.75,N,0,70s
117,male,29.0,2,1,0,21.0,N,0,20s
118,male,24.0,1,0,1,247.5208,B,0,20s
119,female,2.0,3,4,2,31.275,N,0,<10s
120,male,21.0,2,2,0,73.5,N,0,20s
121,male,0.0,3,0,0,8.05,N,0,<10s
122,male,32.5,2,1,0,30.0708,N,0,30s
123,female,32.5,2,0,0,13.0,E,1,30s
124,male,54.0,1,0,1,77.2875,D,0,50s
125,male,12.0,3,1,0,11.2417,N,1,10s
126,male,0.0,3,0,0,7.75,N,0,<10s
127,male,24.0,3,0,0,7.1417,N,1,20s
128,female,0.0,3,1,1,22.3583,F,1,<10s
129,male,45.0,3,0,0,6.975,N,0,40s
130,male,33.0,3,0,0,7.8958,N,0,30s
131,male,20.0,3,0,0,7.05,N,0,20s
132,female,47.0,3,1,0,14.5,N,0,40s
133,female,29.0,2,1,0,26.0,N,1,20s
134,male,25.0,2,0,0,13.0,N,0,20s
135,male,23.0,2,0,0,15.0458,N,0,20s
136,female,19.0,1,0,2,26.2833,D,1,10s
137,male,37.0,1,1,0,53.1,C,0,30s
138,male,16.0,3,0,0,9.2167,N,0,10s
139,male,24.0,1,0,0,79.2,B,0,20s
140,female,0.0,3,0,2,15.2458,N,0,<10s
141,female,22.0,3,0,0,7.75,N,1,20s
142,female,24.0,3,1,0,15.85,N,1,20s
143,male,19.0,3,0,0,6.75,N,0,10s
144,male,18.0,2,0,0,11.5,N,0,10s
145,male,19.0,2,1,1,36.75,N,0,10s
146,male,27.0,3,0,0,7.7958,N,1,20s
147,female,9.0,3,2,2,34.375,N,0,<10s
148,male,36.5,2,0,2,26.0,F,0,30s
149,male,42.0,2,0,0,13.0,N,0,40s
150,male,51.0,2,0,0,12.525,N,0,50s
151,female,22.0,1,1,0,66.6,C,1,20s
152,male,55.5,3,0,0,8.05,N,0,50s
153,male,40.5,3,0,2,14.5,N,0,40s
154,male,0.0,3,0,0,7.3125,N,0,<10s
155,male,51.0,1,0,1,61.3792,N,0,50s
156,female,16.0,3,0,0,7.7333,N,1,10s
157,male,30.0,3,0,0,8.05,N,0,30s
158,male,0.0,3,0,0,8.6625,N,0,<10s
159,male,0.0,3,8,2,69.55,N,0,<10s
160,male,44.0,3,0,1,16.1,N,0,40s
161,female,40.0,2,0,0,15.75,N,1,40s
162,male,26.0,3,0,0,7.775,N,0,20s
163,male,17.0,3,0,0,8.6625,N,0,10s
164,male,1.0,3,4,1,39.6875,N,0,<10s
165,male,9.0,3,0,2,20.525,N,1,<10s
166,female,0.0,1,0,1,55.0,E,1,<10s
167,female,45.0,3,1,4,27.9,N,0,40s
168,male,0.0,1,0,0,25.925,N,0,<10s
169,male,28.0,3,0,0,56.4958,N,0,20s
170,male,61.0,1,0,0,33.5,B,0,60s
171,male,4.0,3,4,1,29.125,N,0,<10s
172,female,1.0,3,1,1,11.1333,N,1,<10s
173,male,21.0,3,0,0,7.925,N,0,20s
174,male,56.0,1,0,0,30.6958,A,0,50s
175,male,18.0,3,1,1,7.8542,N,0,10s
176,male,0.0,3,3,1,25.4667,N,0,<10s
177,female,50.0,1,0,0,28.7125,C,0,50s
178,male,30.0,2,0,0,13.0,N,0,30s
179,male,36.0,3,0,0,0.0,N,0,30s
180,female,0.0,3,8,2,69.55,N,0,<10s
181,male,0.0,2,0,0,15.05,N,0,<10s
182,male,9.0,3,4,2,31.3875,N,0,<10s
183,male,1.0,2,2,1,39.0,F,1,<10s
184,female,4.0,3,0,2,22.025,N,1,<10s
185,male,0.0,1,0,0,50.0,A,0,<10s
186,female,0.0,3,1,0,15.5,N,1,<10s
187,male,45.0,1,0,0,26.55,N,1,40s
188,male,40.0,3,1,1,15.5,N,0,40s
189,male,36.0,3,0,0,7.8958,N,0,30s
190,female,32.0,2,0,0,13.0,N,1,30s
191,male,19.0,2,0,0,13.0,N,0,10s
192,female,19.0,3,1,0,7.8542,N,1,10s
193,male,3.0,2,1,1,26.0,F,1,<10s
194,female,44.0,1,0,0,27.7208,B,1,40s
195,female,58.0,1,0,0,146.5208,B,1,50s
196,male,0.0,3,0,0,7.75,N,0,<10s
197,male,42.0,3,0,1,8.4042,N,0,40s
198,female,0.0,3,0,0,7.75,N,1,<10s
199,female,24.0,2,0,0,13.0,N,0,20s
200,male,28.0,3,0,0,9.5,N,0,20s
201,male,0.0,3,8,2,69.55,N,0,<10s
202,male,34.0,3,0,0,6.4958,N,0,30s
203,male,45.5,3,0,0,7.225,N,0,40s
204,male,18.0,3,0,0,8.05,N,1,10s
205,female,2.0,3,0,1,10.4625,G,0,<10s
206,male,32.0,3,1,0,15.85,N,0,30s
207,male,26.0,3,0,0,18.7875,N,1,20s
208,female,16.0,3,0,0,7.75,N,1,10s
209,male,40.0,1,0,0,31.0,A,1,40s
210,male,24.0,3,0,0,7.05,N,0,20s
211,female,35.0,2,0,0,21.0,N,1,30s
212,male,22.0,3,0,0,7.25,N,0,20s
213,male,30.0,2,0,0,13.0,N,0,30s
214,male,0.0,3,1,0,7.75,N,0,<10s
215,female,31.0,1,1,0,113.275,D,1,30s
216,female,27.0,3,0,0,7.925,N,1,20s
217,male,42.0,2,1,0,27.0,N,0,40s
218,female,32.0,1,0,0,76.2917,D,1,30s
219,male,30.0,2,0,0,10.5,N,0,30s
220,male,16.0,3,0,0,8.05,N,1,10s
221,male,27.0,2,0,0,13.0,N,0,20s
222,male,51.0,3,0,0,8.05,N,0,50s
223,male,0.0,3,0,0,7.8958,N,0,<10s
224,male,38.0,1,1,0,90.0,C,1,30s
225,male,22.0,3,0,0,9.35,N,0,20s
226,male,19.0,2,0,0,10.5,N,1,10s
227,male,20.5,3,0,0,7.25,N,0,20s
228,male,18.0,2,0,0,13.0,N,0,10s
229,female,0.0,3,3,1,25.4667,N,0,<10s
230,female,35.0,1,1,0,83.475,C,1,30s
231,male,29.0,3,0,0,7.775,N,0,20s
232,male,59.0,2,0,0,13.5,N,0,50s
233,female,5.0,3,4,2,31.3875,N,1,<10s
234,male,24.0,2,0,0,10.5,N,0,20s
235,female,0.0,3,0,0,7.55,N,0,<10s
236,male,44.0,2,1,0,26.0,N,0,40s
237,female,8.0,2,0,2,26.25,N,1,<10s
238,male,19.0,2,0,0,10.5,N,0,10s
239,male,33.0,2,0,0,12.275,N,0,30s
240,female,0.0,3,1,0,14.4542,N,0,<10s
241,female,0.0,3,1,0,15.5,N,1,<10s
242,male,29.0,2,0,0,10.5,N,0,20s
243,male,22.0,3,0,0,7.125,N,0,20s
244,male,30.0,3,0,0,7.225,N,0,30s
245,male,44.0,1,2,0,90.0,C,0,40s
246,female,25.0,3,0,0,7.775,N,0,20s
247,female,24.0,2,0,2,14.5,N,1,20s
248,male,37.0,1,1,1,52.5542,D,1,30s
249,male,54.0,2,1,0,26.0,N,0,50s
250,male,0.0,3,0,0,7.25,N,0,<10s
251,female,29.0,3,1,1,10.4625,G,0,20s
252,male,62.0,1,0,0,26.55,C,0,60s
253,male,30.0,3,1,0,16.1,N,0,30s
254,female,41.0,3,0,2,20.2125,N,0,40s
255,female,29.0,3,0,2,15.2458,N,1,20s
256,female,0.0,1,0,0,79.2,N,1,<10s
257,female,30.0,1,0,0,86.5,B,1,30s
258,female,35.0,1,0,0,512.3292,N,1,30s
259,female,50.0,2,0,1,26.0,N,1,50s
260,male,0.0,3,0,0,7.75,N,0,<10s
261,male,3.0,3,4,2,31.3875,N,1,<10s
262,male,52.0,1,1,1,79.65,E,0,50s
263,male,40.0,1,0,0,0.0,B,0,40s
264,female,0.0,3,0,0,7.75,N,0,<10s
265,male,36.0,2,0,0,10.5,N,0,30s
266,male,16.0,3,4,1,39.6875,N,0,10s
267,male,25.0,3,1,0,7.775,N,1,20s
268,female,58.0,1,0,1,153.4625,C,1,50s
269,female,35.0,1,0,0,135.6333,C,1,30s
270,male,0.0,1,0,0,31.0,N,0,<10s
271,male,25.0,3,0,0,0.0,N,1,20s
272,female,41.0,2,0,1,19.5,N,1,40s
273,male,37.0,1,0,1,29.7,C,0,30s
274,female,0.0,3,0,0,7.75,N,1,<10s
275,female,63.0,1,1,0,77.9583,D,1,60s
276,female,45.0,3,0,0,7.75,N,0,40s
277,male,0.0,2,0,0,0.0,N,0,<10s
278,male,7.0,3,4,1,29.125,N,0,<10s
279,female,35.0,3,1,1,20.25,N,1,30s
280,male,65.0,3,0,0,7.75,N,0,60s
281,male,28.0,3,0,0,7.8542,N,0,20s
282,male,16.0,3,0,0,9.5,N,0,10s
283,male,19.0,3,0,0,8.05,N,1,10s
284,male,0.0,1,0,0,26.0,A,0,<10s
285,male,33.0,3,0,0,8.6625,N,0,30s
286,male,30.0,3,0,0,9.5,N,1,30s
287,male,22.0,3,0,0,7.8958,N,0,20s
288,male,42.0,2,0,0,13.0,N,1,40s
289,female,22.0,3,0,0,7.75,N,1,20s
290,female,26.0,1,0,0,78.85,N,1,20s
291,female,19.0,1,1,0,91.0792,B,1,10s
292,male,36.0,2,0,0,12.875,D,0,30s
293,female,24.0,3,0,0,8.85,N,0,20s
294,male,24.0,3,0,0,7.8958,N,0,20s
295,male,0.0,1,0,0,27.7208,N,0,<10s
296,male,23.5,3,0,0,7.2292,N,0,20s
297,female,2.0,1,1,2,151.55,C,0,<10s
298,male,0.0,1,0,0,30.5,C,1,<10s
299,female,50.0,1,0,1,247.5208,B,1,50s
300,female,0.0,3,0,0,7.75,N,1,<10s
301,male,0.0,3,2,0,23.25,N,1,<10s
302,male,19.0,3,0,0,0.0,N,0,10s
303,female,0.0,2,0,0,12.35,E,1,<10s
304,male,0.0,3,0,0,8.05,N,0,<10s
305,male,0.92,1,1,2,151.55,C,1,<10s
306,female,0.0,1,0,0,110.8833,N,1,<10s
307,female,17.0,1,1,0,108.9,C,1,10s
308,male,30.0,2,1,0,24.0,N,0,30s
309,female,30.0,1,0,0,56.9292,E,1,30s
310,female,24.0,1,0,0,83.1583,C,1,20s
311,female,18.0,1,2,2,262.375,B,1,10s
312,female,26.0,2,1,1,26.0,N,0,20s
313,male,28.0,3,0,0,7.8958,N,0,20s
314,male,43.0,2,1,1,26.25,N,0,40s
315,female,26.0,3,0,0,7.8542,N,1,20s
316,female,24.0,2,1,0,26.0,N,1,20s
317,male,54.0,2,0,0,14.0,N,0,50s
318,female,31.0,1,0,2,164.8667,C,1,30s
319,female,40.0,1,1,1,134.5,E,1,40s
320,male,22.0,3,0,0,7.25,N,0,20s
321,male,27.0,3,0,0,7.8958,N,0,20s
322,female,30.0,2,0,0,12.35,N,1,30s
323,female,22.0,2,1,1,29.0,N,1,20s
324,male,0.0,3,8,2,69.55,N,0,<10s
325,female,36.0,1,0,0,135.6333,C,1,30s
326,male,61.0,3,0,0,6.2375,N,0,60s
327,female,36.0,2,0,0,13.0,D,1,30s
328,female,31.0,3,1,1,20.525,N,1,30s
329,female,16.0,1,0,1,57.9792,B,1,10s
330,female,0.0,3,2,0,23.25,N,1,<10s
331,male,45.5,1,0,0,28.5,C,0,40s
332,male,38.0,1,0,1,153.4625,C,0,30s
333,male,16.0,3,2,0,18.0,N,0,10s
334,female,0.0,1,1,0,133.65,N,1,<10s
335,male,0.0,3,0,0,7.8958,N,0,<10s
336,male,29.0,1,1,0,66.6,C,0,20s
337,female,41.0,1,0,0,134.5,E,1,40s
338,male,45.0,3,0,0,8.05,N,1,40s
339,male,45.0,1,0,0,35.5,T,0,40s
340,male,2.0,2,1,1,26.0,F,1,<10s
341,female,24.0,1,3,2,263.0,C,1,20s
342,male,28.0,2,0,0,13.0,N,0,20s
343,male,25.0,2,0,0,13.0,N,0,20s
344,male,36.0,2,0,0,13.0,N,0,30s
345,female,24.0,2,0,0,13.0,F,1,20s
346,female,40.0,2,0,0,13.0,N,1,40s
347,female,0.0,3,1,0,16.1,N,1,<10s
348,male,3.0,3,1,1,15.9,N,1,<10s
349,male,42.0,3,0,0,8.6625,N,0,40s
350,male,23.0,3,0,0,9.225,N,0,20s
351,male,0.0,1,0,0,35.0,C,0,<10s
352,male,15.0,3,1,1,7.2292,N,0,10s
353,male,25.0,3,1,0,17.8,N,0,20s
354,male,0.0,3,0,0,7.225,N,0,<10s
355,male,28.0,3,0,0,9.5,N,0,20s
356,female,22.0,1,0,1,55.0,E,1,20s
357,female,38.0,2,0,0,13.0,N,0,30s
358,female,0.0,3,0,0,7.8792,N,1,<10s
359,female,0.0,3,0,0,7.8792,N,1,<10s
360,male,40.0,3,1,4,27.9,N,0,40s
361,male,29.0,2,1,0,27.7208,N,0,20s
362,female,45.0,3,0,1,14.4542,N,0,40s
363,male,35.0,3,0,0,7.05,N,0,30s
364,male,0.0,3,1,0,15.5,N,0,<10s
365,male,30.0,3,0,0,7.25,N,0,30s
366,female,60.0,1,1,0,75.25,D,1,60s
367,female,0.0,3,0,0,7.2292,N,1,<10s
368,female,0.0,3,0,0,7.75,N,1,<10s
369,female,24.0,1,0,0,69.3,B,1,20s
370,male,25.0,1,1,0,55.4417,E,1,20s
371,male,18.0,3,1,0,6.4958,N,0,10s
372,male,19.0,3,0,0,8.05,N,0,10s
373,male,22.0,1,0,0,135.6333,N,0,20s
374,female,3.0,3,3,1,21.075,N,0,<10s
375,female,0.0,1,1,0,82.1708,N,1,<10s
376,female,22.0,3,0,0,7.25,N,1,20s
377,male,27.0,1,0,2,211.5,C,0,20s
378,male,20.0,3,0,0,4.0125,N,0,20s
379,male,19.0,3,0,0,7.775,N,0,10s
380,female,42.0,1,0,0,227.525,N,1,40s
381,female,1.0,3,0,2,15.7417,N,1,<10s
382,male,32.0,3,0,0,7.925,N,0,30s
383,female,35.0,1,1,0,52.0,N,1,30s
384,male,0.0,3,0,0,7.8958,N,0,<10s
385,male,18.0,2,0,0,73.5,N,0,10s
386,male,1.0,3,5,2,46.9,N,0,<10s
387,female,36.0,2,0,0,13.0,N,1,30s
388,male,0.0,3,0,0,7.7292,N,0,<10s
389,female,17.0,2,0,0,12.0,N,1,10s
390,male,36.0,1,1,2,120.0,B,1,30s
391,male,21.0,3,0,0,7.7958,N,1,20s
392,male,28.0,3,2,0,7.925,N,0,20s
393,female,23.0,1,1,0,113.275,D,1,20s
394,female,24.0,3,0,2,16.7,G,1,20s
395,male,22.0,3,0,0,7.7958,N,0,20s
396,female,31.0,3,0,0,7.8542,N,0,30s
397,male,46.0,2,0,0,26.0,N,0,40s
398,male,23.0,2,0,0,10.5,N,0,20s
399,female,28.0,2,0,0,12.65,N,1,20s
400,male,39.0,3,0,0,7.925,N,1,30s
401,male,26.0,3,0,0,8.05,N,0,20s
402,female,21.0,3,1,0,9.825,N,0,20s
403,male,28.0,3,1,0,15.85,N,0,20s
404,female,20.0,3,0,0,8.6625,N,0,20s
405,male,34.0,2,1,0,21.0,N,0,30s
406,male,51.0,3,0,0,7.75,N,0,50s
407,male,3.0,2,1,1,18.75,N,1,<10s
408,male,21.0,3,0,0,7.775,N,0,20s
409,female,0.0,3,3,1,25.4667,N,0,<10s
410,male,0.0,3,0,0,7.8958,N,0,<10s
411,male,0.0,3,0,0,6.8583,N,0,<10s
412,female,33.0,1,1,0,90.0,C,1,30s
413,male,0.0,2,0,0,0.0,N,0,<10s
414,male,44.0,3,0,0,7.925,N,1,40s
415,female,0.0,3,0,0,8.05,N,0,<10s
416,female,34.0,2,1,1,32.5,N,1,30s
417,female,18.0,2,0,2,13.0,N,1,10s
418,male,30.0,2,0,0,13.0,N,0,30s
419,female,10.0,3,0,2,24.15,N,0,10s
420,male,0.0,3,0,0,7.8958,N,0,<10s
421,male,21.0,3,0,0,7.7333,N,0,20s
422,male,29.0,3,0,0,7.875,N,0,20s
423,female,28.0,3,1,1,14.4,N,0,20s
424,male,18.0,3,1,1,20.2125,N,0,10s
425,male,0.0,3,0,0,7.25,N,0,<10s
426,female,28.0,2,1,0,26.0,N,1,20s
427,female,19.0,2,0,0,26.0,N,1,10s
428,male,0.0,3,0,0,7.75,N,0,<10s
429,male,32.0,3,0,0,8.05,E,1,30s
430,male,28.0,1,0,0,26.55,C,1,20s
431,female,0.0,3,1,0,16.1,N,1,<10s
432,female,42.0,2,1,0,26.0,N,1,40s
433,male,17.0,3,0,0,7.125,N,0,10s
434,male,50.0,1,1,0,55.9,E,0,50s
435,female,14.0,1,1,2,120.0,B,1,10s
436,female,21.0,3,2,2,34.375,N,0,20s
437,female,24.0,2,2,3,18.75,N,1,20s
438,male,64.0,1,1,4,263.0,C,0,60s
439,male,31.0,2,0,0,10.5,N,0,30s
440,female,45.0,2,1,1,26.25,N,1,40s
441,male,20.0,3,0,0,9.5,N,0,20s
442,male,25.0,3,1,0,7.775,N,0,20s
443,female,28.0,2,0,0,13.0,N,1,20s
444,male,0.0,3,0,0,8.1125,N,1,<10s
